timestamp,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-01-01 08:26:00,18,69,99,178,186,157,1,0,1,0,1,0
2024-01-01 08:31:00,18,69,97,178,186,157,1,0,1,0,1,0
2024-01-01 08:36:00,18,69,100,178,186,157,1,0,1,0,1,0
2024-01-01 08:41:00,18,69,83,178,186,157,1,0,1,0,1,0
2024-01-01 08:46:00,18,68,78,178,186,157,1,0,1,0,1,0
2024-01-01 08:51:00,18,70,74,178,186,157,1,0,1,0,1,0
2024-01-01 08:56:00,18,70,75,178,186,157,1,0,1,0,1,0
2024-01-01 09:01:00,18,70,91,178,186,157,1,0,1,0,1,0
2024-01-01 09:06:00,18,69,88,178,186,157,1,0,1,0,1,0
2024-01-01 09:11:00,18,70,97,178,186,157,1,0,1,0,1,0
2024-01-01 09:16:00,18,71,82,178,186,157,1,0,1,0,1,0
2024-01-01 09:21:00,17,68,79,178,186,157,1,0,1,0,1,0
2024-01-01 09:26:00,17,70,82,178,186,157,1,0,1,0,1,0
2024-01-01 09:31:00,17,68,72,178,186,157,1,0,1,0,1,0
2024-01-01 09:36:00,17,73,100,178,186,157,1,0,1,0,1,0
2024-01-01 09:41:00,17,70,95,178,186,157,1,0,1,0,1,0
2024-01-01 09:46:00,17,69,97,178,186,157,1,0,1,0,1,0
2024-01-01 09:51:00,17,70,78,178,186,157,1,0,1,0,1,0
2024-01-01 09:56:00,17,71,85,178,186,157,1,0,1,0,1,0
2024-01-01 10:01:00,17,67,89,178,186,157,1,0,1,0,1,0
2024-01-01 10:06:00,17,68,86,178,186,157,1,0,1,0,1,0
2024-01-01 10:11:00,17,70,84,178,186,157,1,0,1,0,1,0
2024-01-01 10:16:00,17,70,89,178,186,157,1,0,1,0,1,0
2024-01-01 10:21:00,17,68,84,178,186,157,1,0,1,0,1,0
2024-01-01 10:26:00,17,68,78,178,186,157,1,0,1,0,1,0
2024-01-01 10:31:00,16,68,92,178,186,157,1,0,1,0,1,0
2024-01-01 10:36:00,16,69,92,178,186,157,1,0,1,0,1,0
2024-01-01 10:41:00,16,71,90,178,186,157,1,0,1,0,1,0
2024-01-01 10:46:00,16,69,95,178,186,157,1,0,1,0,1,0
2024-01-01 10:51:00,16,68,88,178,186,157,1,0,1,0,1,0
2024-01-01 10:56:00,16,67,84,178,186,157,1,0,1,0,1,0
2024-01-01 11:01:00,16,70,85,178,186,157,1,0,1,0,1,0
2024-01-01 11:06:00,16,69,91,178,186,157,1,0,1,0,1,0
2024-01-01 11:11:00,15,71,83,178,186,157,1,0,1,0,1,0
2024-01-01 11:16:00,15,70,83,178,186,157,1,0,1,0,1,0
2024-01-01 11:21:00,15,70,100,178,186,157,1,0,1,0,1,0
2024-01-01 11:26:00,15,66,78,178,186,157,1,0,1,0,1,0
2024-01-01 11:31:00,15,71,94,178,186,157,1,0,1,0,1,0
2024-01-01 11:36:00,15,70,99,178,186,157,1,0,1,0,1,0
2024-01-01 11:41:00,15,70,91,178,186,157,1,0,1,0,1,0
2024-01-01 11:46:00,15,69,75,178,186,157,1,0,1,0,1,0
2024-01-01 11:51:00,15,67,80,178,186,157,1,0,1,0,1,0
2024-01-01 11:56:00,15,67,100,178,186,157,1,0,1,0,1,0
2024-01-01 11:58:00,15,70,4,178,186,157,1,0,1,0,0,1
2024-01-01 12:01:00,15,69,89,178,186,157,1,0,1,0,1,0
2024-01-01 12:06:00,15,68,95,178,186,157,1,0,1,0,1,0
2024-01-01 12:11:00,15,70,82,178,186,157,1,0,1,0,1,0
2024-01-01 12:16:00,15,70,91,178,186,157,1,0,1,0,1,0
2024-01-01 12:21:00,15,70,84,178,186,157,1,0,1,0,1,0
2024-01-01 12:26:00,15,68,76,178,186,157,1,0,1,0,1,0
2024-01-01 12:31:00,15,65,89,178,186,157,1,0,1,0,1,0
2024-01-01 12:36:00,15,66,80,178,186,157,1,0,1,0,1,0
2024-01-01 12:41:00,15,67,85,178,186,157,1,0,1,0,1,0
2024-01-01 12:46:00,15,68,72,178,186,157,1,0,1,0,1,0
2024-01-01 12:51:00,15,70,81,178,186,157,1,0,1,0,1,0
2024-01-01 12:56:00,14,71,100,178,186,157,1,0,1,0,1,0
2024-01-01 13:01:00,15,70,72,178,186,157,1,0,1,0,1,0
2024-01-01 13:06:00,15,67,75,178,186,157,1,0,1,0,1,0
2024-01-01 13:11:00,15,70,91,178,186,157,1,0,1,0,1,0
2024-01-01 13:16:00,15,71,84,178,186,157,1,0,1,0,1,0
2024-01-01 13:21:00,15,70,81,178,186,157,1,0,1,0,1,0
2024-01-01 13:26:00,15,70,78,178,186,157,1,0,1,0,1,0
2024-01-01 13:31:00,15,69,70,178,186,157,1,0,1,0,1,0
2024-01-01 13:36:00,15,69,81,178,186,157,1,0,1,0,1,0
2024-01-01 13:41:00,15,69,81,178,186,157,1,0,1,0,1,0
2024-01-01 13:46:00,15,67,89,178,186,157,1,0,1,0,1,0
2024-01-01 13:51:00,14,68,72,178,186,157,1,0,1,0,1,0
